-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |  Rel. | Aki  | Acc. |     Ei           Ek     |         Lower level          |         Upper level          |Type|    TP  |    Line  |
    Wavelength    |    Wavelength    |  Int. |(s^-1)|      |    (eV)         (eV)    |------------------------------|------------------------------|    |   Ref. |    Ref.  |
     Vac (nm)     |     Vac (nm)     |       |      |      |                         | Conf.           | Term | J   | Conf.           | Term | J   |    |        |          |
        140.9670  |        140.967+  |     7 |      |      |  18.07776  -   26.87303 | 5s.5p3          | 1D*  | 2   | 5s2.5p.(2P*).4f | 1D   | 2   |    |        |   L7287  |
        141.2120  |        141.211+  |    10 |      |      |   5.51363  -   14.29368 | 5s2.5p2         | 1S   | 0   | 5s.5p3          | 3D*  | 1   |    |        |   L7287  |
        141.3910  |        141.391+  |    12 |      |      |  14.86806  -   23.63693 | 5s.5p3          | 3D*  | 3   | 5s2.5p.(2P*).4f | 3F   | 4   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        142.5610  |        142.562+  |     3 |      |      |  21.45816  -   30.15500 | 5s2.5p.(2P*).5d | 3D*  | 1   | 5s2.5p.(2P*).6p | 1P   | 1   |    |        |   L7287  |
        143.3800  |        143.380+  |     1 |      |      |  14.86806  -   23.51531 | 5s.5p3          | 3D*  | 3   | 5s2.5p.(2P*).4f | 3F   | 3   |    |        |   L7287  |
        143.7750  |        143.775+  |     1 |      |      |  22.44167  -   31.06513 | 5s2.5p.(2P*).5d | 3D*  | 2   | 5s2.5p.(2P*).6p | 1D   | 2   |    |        |   L7287  |
        149.6380  |        149.639+  |     8 |      |      |  14.86806  -   23.15364 | 5s.5p3          | 3D*  | 3   | 5s2.5p.(2P*).4f | 3G   | 3   |    |        |   L7287  |
        150.5800  |        150.581+  |     9 |      |      |  22.83139  -   31.06513 | 5s2.5p.(2P*).5d | 3P*  | 1   | 5s2.5p.(2P*).6p | 1D   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        153.1220  |        153.122+  |    12 |      |      |  16.70101  -   24.79810 | 5s.5p3          | 3P*  | 2   | 5s2.5p.(2P*).4f | 1F   | 3   |    |        |   L7287  |
        153.3660  |        153.366+  |     4 |      |      |  22.44167  -   30.52590 | 5s2.5p.(2P*).5d | 3D*  | 2   | 5s2.5p.(2P*).6p | 3D   | 3   |    |        |   L7287  |
        154.3610  |        154.356+  |    6* |      |      |  22.69223  -   30.72457 | 5s2.5p.(2P*).5d | 3P*  | 0   | 5s2.5p.(2P*).6p | 3S   | 1   |    |        |   L7287  |
        154.3610  |        154.361+  |    6* |      |      |  21.03672  -   29.06879 | 5s.5p3          | 1P*  | 1   | 5s2.5p.(2P*).6p | 3P   | 1   |    |        |   L7287  |
        154.4110  |        154.411+  |     9 |      |      |  23.03564  -   31.06513 | 5s2.5p.(2P*).5d | 1D*  | 2   | 5s2.5p.(2P*).6p | 1D   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        155.7840  |        155.784+  |     6 |      |      |  21.19976  -   29.15847 | 5s2.5p.(2P*).5d | 3P*  | 2   | 5s2.5p.(2P*).6p | 3D   | 2   |    |        |   L7287  |
        156.1470  |        156.150+  |    14 |      |      |  22.58585  -   30.52590 | 5s2.5p.(2P*).5d | 3D*  | 3   | 5s2.5p.(2P*).6p | 3D   | 3   |    |        |   L7287  |
        156.6960  |        156.698+  |     7 |      |      |  22.44167  -   30.35397 | 5s2.5p.(2P*).5d | 3D*  | 2   | 5s2.5p.(2P*).6p | 3P   | 2   |    |        |   L7287  |
        156.8100  |        156.810+  |     5 |      |      |   3.52254  -   11.42921 | 5s2.5p2         | 1D   | 2   | 5s.5p3          | 5S*  | 2   |    |        |   L7287  |
        157.4730  |        157.471+  |     7 |      |      |  18.07776  -   25.95122 | 5s.5p3          | 1D*  | 2   | 5s2.5p.(2P*).4f | 3D   | 1   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        157.5590  |        157.560+  |     8 |      |      |  21.19976  -   29.06879 | 5s2.5p.(2P*).5d | 3P*  | 2   | 5s2.5p.(2P*).6p | 3P   | 1   |    |        |   L7287  |
        159.6090  |        159.606+  |     2 |      |      |  22.58585  -   30.35397 | 5s2.5p.(2P*).5d | 3D*  | 3   | 5s2.5p.(2P*).6p | 3P   | 2   |    |        |  L11113  |
        160.7410  |        160.740+  |     7 |      |      |  22.44167  -   30.15500 | 5s2.5p.(2P*).5d | 3D*  | 2   | 5s2.5p.(2P*).6p | 1P   | 1   |    |        |   L7287  |
        161.0110  |        161.012+  |     3 |      |      |  21.45816  -   29.15847 | 5s2.5p.(2P*).5d | 3D*  | 1   | 5s2.5p.(2P*).6p | 3D   | 2   |    |        |   L7287  |
        162.4410  |        162.444+  |     8 |      |      |  18.07776  -   25.71019 | 5s.5p3          | 1D*  | 2   | 5s2.5p.(2P*).4f | 3D   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        162.9080  |        162.909+  |     2 |      |      |  21.45816  -   29.06879 | 5s2.5p.(2P*).5d | 3D*  | 1   | 5s2.5p.(2P*).6p | 3P   | 1   |    |        |   L7287  |
        164.1330  |        164.129+  |     1 |      |      |  21.45816  -   29.01222 | 5s2.5p.(2P*).5d | 3D*  | 1   | 5s2.5p.(2P*).6p | 3P   | 0   |    |        |  L11113  |
        164.8140  |        164.816+  |     6 |      |      |  22.83139  -   30.35397 | 5s2.5p.(2P*).5d | 3P*  | 1   | 5s2.5p.(2P*).6p | 3P   | 2   |    |        |   L7287  |
        165.5260  |        165.527+  |     8 |      |      |  23.03564  -   30.52590 | 5s2.5p.(2P*).5d | 1D*  | 2   | 5s2.5p.(2P*).6p | 3D   | 3   |    |        |   L7287  |
        166.8000  |        166.801+  |    12 |      |      |  18.07776  -   25.51084 | 5s.5p3          | 1D*  | 2   | 5s2.5p.(2P*).4f | 3D   | 3   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        167.5510  |        167.551+  |    10 |      |      |  24.79176  -   32.19154 | 5s2.5p.(2P*).5d | 1P*  | 1   | 5s2.5p.(2P*).6p | 1S   | 0   |    |        |   L7287  |
        169.2910  |        169.294+  |     7 |      |      |  22.83139  -   30.15500 | 5s2.5p.(2P*).5d | 3P*  | 1   | 5s2.5p.(2P*).6p | 1P   | 1   |    |        |   L7287  |
        171.2520  |        171.255+  |    10 |      |      |  21.03672  -   28.27644 | 5s.5p3          | 1P*  | 1   | 5s2.5p.(2P*).6p | 3D   | 1   |    |        |   L7287  |
        174.1500  |        174.151+  |     3 |      |      |  23.03564  -   30.15500 | 5s2.5p.(2P*).5d | 1D*  | 2   | 5s2.5p.(2P*).6p | 1P   | 1   |    |        |   L7287  |
        175.3520  |        175.352+  |     6 |      |      |  16.68520  -   23.75581 | 5s.5p3          | 3P*  | 1   | 5s2.5p.(2P*).4f | 3F   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        177.5440  |        177.543+  |     6 |      |      |  24.08181  -   31.06513 | 5s2.5p.(2P*).6s | 3P*  | 1   | 5s2.5p.(2P*).6p | 1D   | 2   |    |        |   L7287  |
        178.2050  |        178.205+  |     8 |      |      |  19.91563  -   26.87303 | 5s2.5p.(2P*).5d | 3F*  | 3   | 5s2.5p.(2P*).4f | 1D   | 2   |    |        |   L7287  |
        181.8400  |        181.841+  |     5 |      |      |  21.45816  -   28.27644 | 5s2.5p.(2P*).5d | 3D*  | 1   | 5s2.5p.(2P*).6p | 3D   | 1   |    |        |   L7287  |
        184.4910  |        184.491+  |     9 |      |      |  18.07776  -   24.79810 | 5s.5p3          | 1D*  | 2   | 5s2.5p.(2P*).4f | 1F   | 3   |    |        |   L7287  |
        184.5870  |        184.588+  |     5 |      |      |  22.44167  -   29.15847 | 5s2.5p.(2P*).5d | 3D*  | 2   | 5s2.5p.(2P*).6p | 3D   | 2   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        186.2620  |        186.264+  |     6 |      |      |  19.91563  -   26.57201 | 5s2.5p.(2P*).5d | 3F*  | 3   | 5s2.5p.(2P*).4f | 1G   | 4   |    |        |   L7287  |
        187.0870  |        187.086+  |     4 |      |      |  22.44167  -   29.06879 | 5s2.5p.(2P*).5d | 3D*  | 2   | 5s2.5p.(2P*).6p | 3P   | 1   |    |        |   L7287  |
        189.3790  |        189.380+  |     3 |      |      |  19.40437  -   25.95122 | 5s2.5p.(2P*).5d | 3F*  | 2   | 5s2.5p.(2P*).4f | 3D   | 1   |    |        |   L7287  |
        192.0490  |        192.049+  |     2 |      |      |  24.07004  -   30.52590 | 5s2.5p.(2P*).5d | 1F*  | 3   | 5s2.5p.(2P*).6p | 3D   | 3   |    |        |   L7287  |
        192.1440  |        192.145+  |    10 |      |      |  16.70101  -   23.15364 | 5s.5p3          | 3P*  | 2   | 5s2.5p.(2P*).4f | 3G   | 3   |    |        |   L7287  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        192.8680  |        192.869+  |     3 |      |      |  19.28179  -   25.71019 | 5s.5p3          | 3S*  | 1   | 5s2.5p.(2P*).4f | 3D   | 2   |    |        |   L7287  |
        194.4340  |        194.438+  |     2 |      |      |  22.69223  -   29.06879 | 5s2.5p.(2P*).5d | 3P*  | 0   | 5s2.5p.(2P*).6p | 3P   | 1   |    |        |   L7287  |
        195.9600  |        195.958+  |     4 |      |      |  22.83139  -   29.15847 | 5s2.5p.(2P*).5d | 3P*  | 1   | 5s2.5p.(2P*).6p | 3D   | 2   |    |        |   L7287  |
        197.6360  |        197.635+  |     6 |      |      |  24.79176  -   31.06513 | 5s2.5p.(2P*).5d | 1P*  | 1   | 5s2.5p.(2P*).6p | 1D   | 2   |    |        |   L7287  |
        198.7790  |        198.776+  |     5 |      |      |  22.83139  -   29.06879 | 5s2.5p.(2P*).5d | 3P*  | 1   | 5s2.5p.(2P*).6p | 3P   | 1   |    |        |   L7287  |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |  Rel. | Aki  | Acc. |     Ei           Ek     |         Lower level          |         Upper level          |Type|    TP  |    Line  |
    Wavelength    |    Wavelength    |  Int. |(s^-1)|      |    (eV)         (eV)    |------------------------------|------------------------------|    |   Ref. |    Ref.  |
