----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |         Ritz         |     Rel. |    Aki     | Acc. |       Ei           Ek       |            Lower level            |            Upper level             |Type|                TP  |       Line  |
      Wavelength      |      Wavelength      |     Int. |   (s^-1)   |      |      (eV)         (eV)      |-----------------------------------|------------------------------------|    |               Ref. |       Ref.  |
       Vac (nm)       |       Vac (nm)       |          |            |      |                             | Conf.             | Term    | J   | Conf.              | Term    | J   |    |                    |             |
          112.9310    |          112.930835+ |        a | 4.4e+06    | D+   |   0.0000000  -   10.9787729 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).6d  | 2[1/2]* | 1   |    |              T3180 |      L6449  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          117.0413    |          117.041175+ |        a | 1.39e+08   | B+   |   0.0000000  -   10.5932120 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).7s  | 2[3/2]* | 1   |    |        T7227,T5940 |      L6449  |
          119.2037    |          119.203760+ |     250a | 5.93e+08   | B+   |   0.0000000  -   10.4010308 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).5d  | 2[3/2]* | 1   |    |        T7227,T5940 |  L6449c110  |
          125.0210    |          125.020913+ |     250a | 1.49e+07   | B+   |   0.0000000  -    9.9170767 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).5d  | 2[1/2]* | 1   |    |        T7227,T5940 |  L6449c110  |
          129.5588    |          129.558783+ |    1000a | 2.53e+08   | A+   |   0.0000000  -    9.5697254 | 5p6               | 1S      | 0   | 5p5.(2P*<1/2>).6s  | 2[1/2]* | 1   |    |              T7227 |  L6449c110  |
          146.9610    |          146.96123+  |      600 | 2.73e+08   | A+   |   0.0000000  -    8.4365241 | 5p6               | 1S      | 0   | 5p5.(2P*<3/2>).6s  | 2[3/2]* | 1   |    |              T7227 |  L7324c110  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |         Ritz         |     Rel. |    Aki     | Acc. |       Ei           Ek       |            Lower level            |            Upper level             |Type|                TP  |       Line  |
      Wavelength      |      Wavelength      |     Int. |   (s^-1)   |      |      (eV)         (eV)      |-----------------------------------|------------------------------------|    |               Ref. |       Ref.  |
       Air (nm)       |       Air (nm)       |          |            |      |                             | Conf.             | Term    | J   | Conf.              | Term    | J   |    |                    |             |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          334.0040    |          334.004+    |       1- |            |      |   8.3153161  -   12.02631   | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).15p | 2[5/2]  | 3   |    |                    |      L4739  |
          334.8630    |          334.8676+   |       1- |            |      |   8.3153161  -   12.016736  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).11f | 2[5/2]  | 3   |    |                    |      L4739  |
          335.8170    |          335.8167+   |      1h- |            |      |   8.3153161  -   12.006275  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).14p | 2[3/2]  | 2   |    |                    |      L4739  |
          335.8960    |          335.8957+   |      1h- |            |      |   8.3153161  -   12.005407  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).14p | 2[5/2]  | 3   |    |                    |      L4739  |
          337.0340    |          337.0355+   |       1h |            |      |   8.3153161  -   11.992928  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).10f | 2[5/2]  | 3   |    |                    |      L4739  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          338.3200    |          338.3197+   |        1 |            |      |   8.3153161  -   11.978969  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).13p | 2[3/2]  | 2   |    |                    |      L4739  |
          338.4360    |          338.4358+   |        1 |            |      |   8.3153161  -   11.977713  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).13p | 2[5/2]  | 3   |    |                    |      L4739  |
          340.0070    |          340.0132+   |        2 |            |      |   8.3153161  -   11.960722  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).9f  | 2[5/2]  | 3   |    |                    |      L4739  |
          340.0790    |          340.0879+   |       1- |            |      |   8.3153161  -   11.959921  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).9f  | 2[3/2]  | 2   |    |                    |      L4739  |
          341.8370    |          341.8367+   |        2 |            |      |   8.3153161  -   11.941276  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).12p | 2[3/2]  | 2   |    |                    |      L4739  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
          342.0000    |          341.9998+   |        2 |            |      |   8.3153161  -   11.939548  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).12p | 2[5/2]  | 3   |    |                    |      L4739  |
          344.2660    |          344.2686+   |        3 |            |      |   8.3153161  -   11.915664  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).8f  | 2[5/2]  | 3   |    |                    |      L4739  |
          344.3830    |          344.3879+   |       1* |            |      |   8.3153161  -   11.914417  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).8f  | 2[3/2]  | 1   |    |                    |      L4739  |
          344.3830    |          344.3754+   |       1* |            |      |   8.3153161  -   11.914548  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).8f  | 2[3/2]  | 2   |    |                    |      L4739  |
          346.9810    |          346.9800+   |        4 |            |      |   8.3153161  -   11.887531  | 5p5.(2P*<3/2>).6s | 2[3/2]* | 2   | 5p5.(2P*<3/2>).11p | 2[3/2]  | 2   |    |                    |      L4739  |
                      |                      |          |            |      |                             |                   |         |     |                    |         |     |    |                    |             |
