-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     Observed     |       Ritz       |  Rel. | Aki  | Acc. |     Ei           Ek     |         Lower level          |         Upper level          |Type|    TP  |    Line  |
    Wavelength    |    Wavelength    |  Int. |(s^-1)|      |    (eV)         (eV)    |------------------------------|------------------------------|    |   Ref. |    Ref.  |
     Vac (nm)     |     Vac (nm)     |       |      |      |                         | Conf.           | Term | J   | Conf.           | Term | J   |    |        |          |
        115.0260  |        115.0253+ |     5 |      |      |  13.25679  -   24.03565 | 5s.5p4          | 4P   | 3/2 | 5s2.5p2.(3P).6p | 2S*  | 1/2 |    |        |  L11502  |
        115.1080  |        115.1070+ |    10 |      |      |  18.43459  -   29.20580 | 5s2.5p2.(3P).5d | 4D   | 5/2 | 5s2.5p2.(1S).6p | 2P*  | 3/2 |    |        |  L11502  |
        115.3510  |        115.3506+ |     6 |      |      |  15.11726  -   25.86572 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(3P).4f | 2F*  | 5/2 |    |        |  L11502  |
        115.4670  |        115.4669+ |     3 |      |      |  18.12730  -   28.86493 | 5s2.5p2.(3P).5d | 4D   | 3/2 | 5s2.5p2.(1S).6p | 2P*  | 1/2 |    |        |  L11502  |
        115.5650  |        115.5666+ |     8 |      |      |  13.54582  -   24.27420 | 5s.5p4          | 4P   | 1/2 | 5s2.5p2.(3P).4f | 4D*  | 3/2 |    |        |  L11502  |
                  |                  |       |      |      |                         |                 |      |     |                 |      |     |    |        |          |
        115.7468  |        115.7450+ |    65 |      |      |   1.64490  -   12.35674 | 5s2.5p3         | 2D*  | 3/2 | 5s.5p4          | 4P   | 5/2 |    |        |  L11173  |
        115.9046  |        115.9027+ |     2 |      |      |   4.41999  -   15.11726 | 5s2.5p3         | 2P*  | 3/2 | 5s.5p4          | 2D   | 3/2 |    |        |   L6623  |
        116.3140  |        116.3138+ |     1 |      |      |  16.49330  -   27.15275 | 5s2.5p2.(3P).5d | 2P   | 3/2 | 5s2.5p2.(1D).4f | 2D*  | 5/2 |    |        |  L11502  |
        117.4700  |        117.4706+ |     5 |      |      |  15.11726  -   25.67175 | 5s.5p4          | 2D   | 3/2 | 5s2.5p2.(3P).6p | 4P*  | 5/2 |    |        |  L11502  |
