----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |     Rel. | Aki  | Acc. |      Ei           Ek      |          Lower level          |          Upper level          |Type|    TP  |    Line  |
     Wavelength     |     Wavelength     |     Int. |(s^-1)|      |     (eV)         (eV)     |-------------------------------|-------------------------------|    |   Ref. |    Ref.  |
      Vac (nm)      |      Vac (nm)      |          |      |      |                           | Conf.            | Term | J   | Conf.            | Term | J   |    |        |          |
         119.8683   |         119.86925+ |       11 |      |      |  12.840820  -   23.184107 | 5s.5p5           | 3P*  | 1   | 5s2.5p3.(2D*).4f | 3D   | 2   |    |        |  L10579  |
         120.0033   |         120.00303+ |        4 |      |      |  12.182994  -   22.514749 | 5s.5p5           | 3P*  | 2   | 5s2.5p3.(2D*).4f | 3F   | 2   |    |        |  L10579  |
         120.2593   |         120.25982+ |        2 |      |      |  15.030552  -   25.340246 | 5s2.5p3.(4S*).5d | 3D*  | 3   | 5s2.5p3.(2P*).4f | 3D   | 3   |    |        |  L10579  |
         120.5929   |         120.59367+ |       12 |      |      |   4.476194  -   14.757347 | 5s2.5p4          | 1S   | 0   | 5s2.5p3.(2D*).5d | 1P*  | 1   |    |        |  L10579  |
         122.7943   |         122.79407+ |        2 |      |      |  15.116494  -   25.213415 | 5s2.5p3.(4S*).5d | 3D*  | 1   | 5s2.5p3.(2P*).4f | 3D   | 2   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         122.8991   |         122.89889+ |      0.5 |      |      |  13.431674  -   23.519983 | 5s.5p5           | 3P*  | 0   | 5s2.5p3.(2D*).4f | 3P   | 1   |    |        |  L10579  |
         123.2070   |         123.20773+ |      12u |      |      |   2.119972  -   12.182994 | 5s2.5p4          | 1D   | 2   | 5s.5p5           | 3P*  | 2   |    |        |  L10579  |
         123.7316   |         123.73206+ |       2u |      |      |  13.837307  -   23.857685 | 5s2.5p3.(4S*).5d | 5D*  | 3   | 5s2.5p3.(2D*).4f | 1G   | 4   |    |        |  L10579  |
         123.8955   |         123.89546+ |        1 |      |      |  14.535917  -   24.543080 | 5s2.5p3.(4S*).5d | 3D*  | 2   | 5s2.5p3.(2P*).4f | 3G   | 3   |    |        |  L10579  |
         124.2875   |         124.28727+ |       10 |      |      |  13.431674  -   23.407289 | 5s.5p5           | 3P*  | 0   | 5s2.5p3.(2D*).4f | 3D   | 1   |    |        |  L10579  |
                    |                    |          |      |      |                           |                  |      |     |                  |      |     |    |        |          |
         124.4235   |         124.42311+ |        2 |      |      |  14.535917  -   24.500641 | 5s2.5p3.(4S*).5d | 3D*  | 2   | 5s2.5p3.(4S*).5f | 5F   | 1   |    |        |  L10579  |
         124.7610   |         124.76072+ |        3 |      |      |  13.919927  -   23.857685 | 5s2.5p3.(4S*).5d | 5D*  | 4   | 5s2.5p3.(2D*).4f | 1G   | 4   |    |        |  L10579  |
         124.9319   |         124.93190+ |        7 |      |      |  12.182994  -   22.107136 | 5s.5p5           | 3P*  | 2   | 5s2.5p3.(2D*).4f | 3G   | 3   |    |        |  L10579  |
