-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |  Rel. |    Aki    | Acc. |      Ei           Ek      |          Lower level          |          Upper level          |Type|    TP  |   Line  |
     Wavelength     |     Wavelength     |  Int. |  (s^-1)   |      |     (eV)         (eV)     |-------------------------------|-------------------------------|    |   Ref. |   Ref.  |
      Vac (nm)      |      Vac (nm)      |       |           |      |                           | Conf.          | Term  | J    | Conf.          | Term  | J    |    |        |         |
         214.631    |         214.6282+  |     0 |           |      |  11.539016  -   17.313895 | 5p4.(3P<2>).6s | 2[2]  | 5/2  | 5p4.(3P<2>).7p | 2[3]* | 5/2  |    |        |  L7270  |
         215.308    |         215.3102+  |    0a |           |      |  11.539016  -   17.295605 | 5p4.(3P<2>).6s | 2[2]  | 5/2  | 5p4.(3P<2>).4f | 2[2]* | 3/2  |    |        |  L5583  |
         215.490    |         215.4838+  |     1 |           |      |  12.745460  -   18.497412 | 5p4.(3P<1>).6s | 2[1]  | 3/2  | 5p4.(1S<0>).6p | 2[1]* | 3/2  |    |        |  L7270  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         216.605    |         216.6039+  |     1 |           |      |  12.745460  -   18.467670 | 5p4.(3P<1>).6s | 2[1]  | 3/2  | 5p4.(3P<1>).4f | 2[2]* | 5/2  |    |        |  L5583  |
         216.784    |         216.7852+  |     1 |           |      |  11.539016  -   17.256441 | 5p4.(3P<2>).6s | 2[2]  | 5/2  | 5p4.(3P<2>).4f | 2[3]* | 5/2  |    |        |  L5583  |
         217.040    |         217.0384+  |     1 |           |      |  11.539016  -   17.249770 | 5p4.(3P<2>).6s | 2[2]  | 5/2  | 5p4.(3P<2>).7p | 2[2]* | 5/2  |    |        |  L7270  |
         217.164    |         217.1653+  |     2 |           |      |  12.588819  -   18.296237 | 5p4.(3P<2>).5d | 2[4]  | 7/2  | 5p4.(3P<0>).4f | 2[3]* | 7/2  |    |        |  L6991  |
         217.623    |         217.6221+  |     2 |           |      |  11.539016  -   17.234457 | 5p4.(3P<2>).6s | 2[2]  | 5/2  | 5p4.(3P<2>).4f | 2[3]* | 7/2  |    |        |  L5583  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         217.825    |         217.8248+  |     0 |           |      |  13.802784  -   19.492923 | 5p4.(3P<1>).5d | 2[2]  | 3/2  | 5p4.(1D<2>).4f | 2[3]* | 5/2  |    |        |  L5583  |
         219.278    |         219.2771+  |     0 |           |      |  11.827688  -   17.480147 | 5p4.(3P<2>).5d | 2[2]  | 5/2  | 5p4.(3P<2>).7p | 2[2]* | 3/2  |    |        |  L7270  |
         219.348    |         219.3450+  |    1* |           |      |  12.745460  -   18.396168 | 5p4.(3P<1>).6s | 2[1]  | 3/2  | 5p4.(3P<1>).4f | 2[2]* | 3/2  |    |        |  L6991  |
         219.348    |         219.344+   |    1* |           |      |  13.860463  -   19.51121  | 5p4.(3P<2>).6p | 2[2]* | 3/2  | 5p4.(3P<1>).8s | 2[1]  | 1/2  |    |        |  L6991  |
         220.824    |         220.8245+  |     3 |           |      |  11.786481  -   17.399334 | 5p4.(3P<2>).6s | 2[2]  | 3/2  | 5p4.(3P<2>).4f | 2[1]* | 3/2  |    |        |  L5583  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         221.437    |         221.4365+  |     3 |           |      |  11.786481  -   17.383823 | 5p4.(3P<2>).6s | 2[2]  | 3/2  | 5p4.(3P<2>).4f | 2[2]* | 5/2  |    |        |  L5583  |
         221.558    |         221.5559+  |     2 |           |      |  11.786481  -   17.380808 | 5p4.(3P<2>).6s | 2[2]  | 3/2  | 5p4.(3P<2>).4f | 2[1]* | 1/2  |    |        |  L5583  |
         222.276    |         222.2757+  |     3 |           |      |  13.802784  -   19.378994 | 5p4.(3P<1>).5d | 2[2]  | 3/2  | 5p4.(1D<2>).4f | 2[2]* | 3/2  |    |        |  L5583  |
         222.429    |         222.4234+  |    0* |           |      |  13.881133  -   19.453643 | 5p4.(3P<2>).6p | 2[2]* | 5/2  | 5p4.(3P<2>).6g | 2[3]  | 7/2  |    |        |  L6991  |
         222.429    |         222.432+   |    0* |           |      |  13.881133  -   19.45343  | 5p4.(3P<2>).6p | 2[2]* | 5/2  | 5p4.(3P<2>).6g | 2[3]  | 5/2  |    |        |  L6991  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         222.459    |         222.4579+  |     2 |           |      |  11.827688  -   17.399334 | 5p4.(3P<2>).5d | 2[2]  | 5/2  | 5p4.(3P<2>).4f | 2[1]* | 3/2  |    |        |  L5583  |
         222.599    |         222.6041+  |     2 |           |      |  13.802784  -   19.370770 | 5p4.(3P<1>).5d | 2[2]  | 3/2  | 5p4.(1D<2>).4f | 2[2]* | 5/2  |    |        |  L5583  |
         223.079    |         223.0790+  |    1h |           |      |  11.827688  -   17.383823 | 5p4.(3P<2>).5d | 2[2]  | 5/2  | 5p4.(3P<2>).4f | 2[2]* | 5/2  |    |        |  L6925  |
         223.283    |         223.2829+  |     2 |           |      |  11.832763  -   17.383823 | 5p4.(3P<2>).5d | 2[3]  | 7/2  | 5p4.(3P<2>).4f | 2[2]* | 5/2  |    |        |  L5583  |
         223.499    |         223.4992+  |     1 |           |      |  13.973470  -   19.519158 | 5p4.(3P<1>).5d | 2[2]  | 5/2  | 5p4.(1D<2>).4f | 2[4]* | 7/2  |    |        |  L5583  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         223.552    |         223.5510+  |     2 |           |      |  12.745460  -   18.289865 | 5p4.(3P<1>).6s | 2[1]  | 3/2  | 5p4.(3P<0>).4f | 2[3]* | 5/2  |    |        |  L5583  |
         223.979    |         223.9787+  |     1 |           |      |  11.827688  -   17.361506 | 5p4.(3P<2>).5d | 2[2]  | 5/2  | 5p4.(3P<2>).4f | 2[4]* | 7/2  |    |        |  L5583  |
         224.186    |         224.1843+  |    2h |           |      |  11.832763  -   17.361506 | 5p4.(3P<2>).5d | 2[3]  | 7/2  | 5p4.(3P<2>).4f | 2[4]* | 7/2  |    |        |  L6925  |
         224.561    |         224.5617+  |     1 |           |      |  13.973470  -   19.492923 | 5p4.(3P<1>).5d | 2[2]  | 5/2  | 5p4.(1D<2>).4f | 2[3]* | 5/2  |    |        |  L7270  |
         224.717    |         224.7157+  |     1 |           |      |  13.057189  -   18.572858 | 5p4.(3P<2>).5d | 2[1]  | 3/2  | 5p4.(3P<1>).4f | 2[3]* | 5/2  |    |        |  L7270  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         224.822    |         224.8214+  |     1 |           |      |  11.832763  -   17.345839 | 5p4.(3P<2>).5d | 2[3]  | 7/2  | 5p4.(3P<2>).4f | 2[5]* | 9/2  |    |        |  L5583  |
         224.986    |         224.9827+  |     4 |           |      |  11.786481  -   17.295605 | 5p4.(3P<2>).6s | 2[2]  | 3/2  | 5p4.(3P<2>).4f | 2[2]* | 3/2  |    |        |  L6925  |
         225.474    |         225.4746+  |     1 |           |      |  11.827688  -   17.324794 | 5p4.(3P<2>).5d | 2[2]  | 5/2  | 5p4.(3P<2>).7p | 2[3]* | 7/2  |    |        |  L7270  |
         225.656    |         225.6555+  |    1h |           |      |  11.906634  -   17.399334 | 5p4.(3P<2>).5d | 2[2]  | 3/2  | 5p4.(3P<2>).4f | 2[1]* | 3/2  |    |        |  L6925  |
         225.682    |         225.6832+  |    2* |           |      |  14.000896  -   19.492923 | 5p4.(1D<2>).6s | 2[2]  | 3/2  | 5p4.(1D<2>).4f | 2[3]* | 5/2  |    |        |  L6991  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         225.682    |         225.6830+  |    2* |           |      |  11.832763  -   17.324794 | 5p4.(3P<2>).5d | 2[3]  | 7/2  | 5p4.(3P<2>).7p | 2[3]* | 7/2  |    |        |  L6991  |
         225.922    |         225.9226+  |    1h |           |      |  11.827688  -   17.313895 | 5p4.(3P<2>).5d | 2[2]  | 5/2  | 5p4.(3P<2>).7p | 2[3]* | 5/2  |    |        |  L6925  |
         226.133    |         226.1318+  |     0 |           |      |  11.832763  -   17.313895 | 5p4.(3P<2>).5d | 2[3]  | 7/2  | 5p4.(3P<2>).7p | 2[3]* | 5/2  |    |        |  L6991  |
         226.295    |         226.2946+  |     2 |           |      |  11.906634  -   17.383823 | 5p4.(3P<2>).5d | 2[2]  | 3/2  | 5p4.(3P<2>).4f | 2[2]* | 5/2  |    |        |  L6925  |
         226.420    |         226.4193+  |     2 |           |      |  11.906634  -   17.380808 | 5p4.(3P<2>).5d | 2[2]  | 3/2  | 5p4.(3P<2>).4f | 2[1]* | 1/2  |    |        |  L6925  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         226.499    |         226.5000+  |     3 |           |      |  13.802784  -   19.275006 | 5p4.(3P<1>).5d | 2[2]  | 3/2  | 5p4.(1D<2>).4f | 2[1]* | 3/2  |    |        |  L7270  |
         226.562    |         226.5586+  |    3h |           |      |  12.925360  -   18.396168 | 5p4.(3P<1>).5d | 2[1]  | 1/2  | 5p4.(3P<1>).4f | 2[2]* | 3/2  |    |        |  L6925  |
         226.594    |         226.5937+  |    2h |           |      |  11.786481  -   17.256441 | 5p4.(3P<2>).6s | 2[2]  | 3/2  | 5p4.(3P<2>).4f | 2[3]* | 5/2  |    |        |  L6925  |
         226.680    |         226.6784+  |    3h |           |      |  11.827688  -   17.295605 | 5p4.(3P<2>).5d | 2[2]  | 5/2  | 5p4.(3P<2>).4f | 2[2]* | 3/2  |    |        |  L6925  |
         226.872    |         226.8704+  |    1h |           |      |  11.786481  -   17.249770 | 5p4.(3P<2>).6s | 2[2]  | 3/2  | 5p4.(3P<2>).7p | 2[2]* | 5/2  |    |        |  L6925  |
                    |                    |       |           |      |                           |                |       |      |                |       |      |    |        |         |
         227.318    |         227.3157+  |     1 |           |      |  11.906634  -   17.359224 | 5p4.(3P<2>).5d | 2[2]  | 3/2  | 5p4.(3P<2>).7p | 2[1]* | 1/2  |    |        |  L6991  |
         227.337    |         227.3336+  |     3 |           |      |  12.925360  -   18.377519 | 5p4.(3P<1>).5d | 2[1]  | 1/2  | 5p4.(1S<0>).6p | 2[1]* | 1/2  |    |        |  L7270  |
         228.260    |         228.2554+  |   0bl |           |      |  11.827688  -   17.257832 | 5p4.(3P<2>).5d | 2[2]  | 5/2  | 5p4.(3P<2>).7p | 2[1]* | 3/2  |    |        |  L7270  |
