# config, g, E, ionLevel, Qn, Eth_eV, Eth_Hz, Eth_nm
3s2.3p6                    1.0  0.000000 15.759612 1.00  1.58e+01  3.81e+15        78.6721
3s2.3p5.(2P*<1/2>).6f      7.0 15.557927 15.937106 1.00  3.79e-01  9.17e+13      3269.8102
3s2.3p5.(2P*<1/2>).6f      5.0 15.557954 15.937106 1.00  3.79e-01  9.17e+13      3270.0430
3s2.3p5.(2P*<1/2>).6g     11.0 15.558869 15.937106 1.00  3.78e-01  9.15e+13      3277.9537
3s2.3p5.(2P*<1/2>).6g      9.0 15.558869 15.937106 1.00  3.78e-01  9.15e+13      3277.9537
3s2.3p5.(2P*<1/2>).6g      7.0 15.558880 15.937106 1.00  3.78e-01  9.15e+13      3278.0490
3s2.3p5.(2P*<1/2>).6g      9.0 15.558880 15.937106 1.00  3.78e-01  9.15e+13      3278.0490
3s2.3p5.(2P*<3/2>).10p     3.0 15.560694 15.759612 1.00  1.99e-01  4.81e+13      6232.9332
3s2.3p5.(2P*<3/2>).10p     7.0 15.562470 15.759612 1.00  1.97e-01  4.77e+13      6289.0841
3s2.3p5.(2P*<3/2>).10p     5.0 15.562890 15.759612 1.00  1.97e-01  4.76e+13      6302.5112
3s2.3p5.(2P*<3/2>).10p     3.0 15.563930 15.759612 1.00  1.96e-01  4.73e+13      6336.0075
3s2.3p5.(2P*<3/2>).10p     5.0 15.564211 15.759612 1.00  1.95e-01  4.72e+13      6345.1191
3s2.3p5.(2P*<3/2>).10p     1.0 15.567680 15.759612 1.00  1.92e-01  4.64e+13      6459.8015
3s2.3p5.(2P*<3/2>).9d      1.0 15.571807 15.759612 1.00  1.88e-01  4.54e+13      6601.7552
3s2.3p5.(2P*<3/2>).9d      3.0 15.574036 15.759612 1.00  1.86e-01  4.49e+13      6681.0506
3s2.3p5.(2P*<3/2>).9d      9.0 15.576338 15.759612 1.00  1.83e-01  4.43e+13      6764.9675
3s2.3p5.(2P*<3/2>).9d      5.0 15.577111 15.759612 1.00  1.83e-01  4.41e+13      6793.6212
3s2.3p5.(2P*<3/2>).9d      7.0 15.578861 15.759612 1.00  1.81e-01  4.37e+13      6859.3959
3s2.3p5.(2P*<3/2>).9d      5.0 15.581278 15.759612 1.00  1.78e-01  4.31e+13      6952.3629
