-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed     |      Ritz       |  Rel. |     Aki     | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|           TP  |   Line  |
   Wavelength    |   Wavelength    |  Int. |   (s^-1)    |      |       (eV)         (eV)       |---------------------------------------|----------------------------------------|    |          Ref. |   Ref.  |
    Vac (nm)     |    Vac (nm)     |       |             |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |               |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 |                 |       |             |      |                               |                       |         |     |                        |         |     |    |               |         |
        104.8220 |        104.8220 | 1000r | 5.32e+08    | AA   |   0.00000000  -   11.82807116 | 3s2.3p6               | 1S      | 0   | 3s2.3p5.(2P*<1/2>).4s  | 2[1/2]* | 1   |    |         T7574 |  L2131  |
        106.6660 |        106.6660 |  500r | 1.320e+08   | A+   |   0.00000000  -   11.62359272 | 3s2.3p6               | 1S      | 0   | 3s2.3p5.(2P*<3/2>).4s  | 2[3/2]* | 1   |    |         T7574 |  L2131  |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed     |      Ritz       |  Rel. |     Aki     | Acc. |        Ei           Ek        |              Lower level              |              Upper level               |Type|           TP  |   Line  |
   Wavelength    |   Wavelength    |  Int. |   (s^-1)    |      |       (eV)         (eV)       |---------------------------------------|----------------------------------------|    |          Ref. |   Ref.  |
    Air (nm)     |    Air (nm)     |       |             |      |                               | Conf.                 | Term    | J   | Conf.                  | Term    | J   |    |               |         |
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                 |                 |       |             |      |                               |                       |         |     |                        |         |     |    |               |         |
        419.0713 |        419.0713 |   100 | 2.80e+05    | B    |  11.54835442  -   14.50606764 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<3/2>).5p  | 2[5/2]  | 2   |    |         T5223 |  L2634  |
        419.1029 |        419.1029 |    50 | 5.4e+05     | C+   |  11.72316039  -   14.68065033 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 0   | 3s2.3p5.(2P*<1/2>).5p  | 2[3/2]  | 1   |    |         T5223 |  L2634  |
        419.8317 |        419.8317 |   200 | 2.57e+06    | B    |  11.62359272  -   14.57594878 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 0   |    |         T5223 |  L2634  |
        420.0674 |        420.0675 |   400 | 9.7e+05     | B+   |  11.54835442  -   14.49905364 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<3/2>).5p  | 2[5/2]  | 3   |    |         T5223 |  L2634  |
        425.1185 |        425.1185 |    25 | 1.11e+05    | C+   |  11.54835442  -   14.46399577 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 2   | 3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 1   |    |         T5223 |  L2634  |
                 |                 |       |             |      |                               |                       |         |     |                        |         |     |    |               |         |
        425.9362 |        425.9362 |   200 | 3.98e+06    | B+   |  11.82807116  -   14.73811536 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<1/2>).5p  | 2[1/2]  | 0   |    |         T5223 |  L2634  |
        426.6286 |        426.6287 |   100 | 3.1e+05     | C+   |  11.62359272  -   14.52891349 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 2   |    |         T5223 |  L2634  |
        427.2169 |        427.2169 |   150 | 8.0e+05     | B    |  11.62359272  -   14.52491330 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 1   |    |         T5223 |  L2634  |
        430.0101 |        430.0101 |   100 | 3.77e+05    | B+   |  11.62359272  -   14.50606764 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[5/2]  | 2   |    |         T5223 |  L2634  |
        433.3561 |        433.3561 |   100 | 5.7e+05     | B+   |  11.82807116  -   14.68829030 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<1/2>).5p  | 2[3/2]  | 2   |    |         T5223 |  L2634  |
                 |                 |       |             |      |                               |                       |         |     |                        |         |     |    |               |         |
        433.5338 |        433.5338 |    50 | 3.9e+05     | C+   |  11.82807116  -   14.68711824 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<1/2>).5p  | 2[1/2]  | 1   |    |         T5223 |  L2634  |
        434.5168 |        434.5168 |    25 | 3.0e+05     | B    |  11.82807116  -   14.68065033 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<1/2>).5p  | 2[3/2]  | 1   |    |         T5223 |  L2634  |
                 |        436.3795 |       | 1.20e+04    | B    |  11.62359272  -   14.46399577 | 3s2.3p5.(2P*<3/2>).4s | 2[3/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 1   |    |         T5223 |         |
                 |        442.3994 |       | 7.3e+03     | C+   |  11.72316039  -   14.52491330 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 0   | 3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 1   |    |         T5223 |         |
        451.0733 |        451.0733 |   100 | 1.18e+06    | B+   |  11.82807116  -   14.57594878 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 0   |    |         T5223 |  L2634  |
                 |                 |       |             |      |                               |                       |         |     |                        |         |     |    |               |         |
        452.2323 |        452.2323 |    20 | 9.0e+04     | B    |  11.72316039  -   14.46399577 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 0   | 3s2.3p5.(2P*<3/2>).5p  | 2[1/2]  | 1   |    |         T5223 |  L2634  |
                 |        454.4746 |       | 8.3e+04     | E    |  12.90701530  -   15.634328   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).11d | 2[1/2]* | 1   |    |        T1164n |         |
                 |        455.4324 |       | 3.8e+04     | E    |  12.90701530  -   15.628593   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<1/2>).7d  | 2[3/2]* | 2   |    |        T1164n |         |
                 |        458.4956 |       | 1.6e+05     | E    |  12.90701530  -   15.610410   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).10d | 2[3/2]* | 2   |    |        T1164n |         |
                 |        458.6611 |       | 2.3e+05     | E    |  12.90701530  -   15.609435   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).10d | 2[1/2]* | 1   |    |        T1164n |         |
                 |                 |       |             |      |                               |                       |         |     |                        |         |     |    |               |         |
                 |        458.7209 |       | 4.9e+05     | E    |  12.90701530  -   15.609082   | 3s2.3p5.(2P*<3/2>).4p | 2[1/2]  | 1   | 3s2.3p5.(2P*<3/2>).10d | 2[1/2]* | 0   |    |        T1164n |         |
                 |        458.9289 |       | 6.2e+03     | C    |  11.82807116  -   14.52891349 | 3s2.3p5.(2P*<1/2>).4s | 2[1/2]* | 1   | 3s2.3p5.(2P*<3/2>).5p  | 2[3/2]  | 2   |    |         T5223 |         |
