----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |      Ritz      |  Rel. |    Aki     | Acc. |      Ei           Ek      |         Lower level          |         Upper level          |   Type|        TP  |    Line  |
   Wavelength   |   Wavelength   |  Int. |   (s^-1)   |      |     (eV)         (eV)     |------------------------------|------------------------------|       |       Ref. |    Ref.  |
    Vac (nm)    |    Vac (nm)    |       |            |      |                           | Conf.           | Term | J   | Conf.           | Term | J   |       |            |          |
       175.6600 |       175.6611 |     1 |            |      |  30.59156   -   37.64971  | 3s2.3p2.(3P).3d | 2F   | 7/2 | 3s2.3p2.(1D).4p | 2F*  | 5/2 |       |            |  L11418  |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
    Observed    |      Ritz      |  Rel. |    Aki     | Acc. |      Ei           Ek      |         Lower level          |         Upper level          |   Type|        TP  |    Line  |
   Wavelength   |   Wavelength   |  Int. |   (s^-1)   |      |     (eV)         (eV)     |------------------------------|------------------------------|       |       Ref. |    Ref.  |
    Air (nm)    |    Air (nm)    |       |            |      |                           | Conf.           | Term | J   | Conf.           | Term | J   |       |            |          |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       200.6890 |       200.6907 |     6 |            |      |  31.75084   -   37.926717 | 3s2.3p2.(3P).4s | 2P   | 1/2 | 3s2.3p2.(1D).4p | 2D*  | 3/2 |       |            |  L11418  |
       205.8820 |       205.8818 |   0.5 |            |      |  31.906537  -   37.926717 | 3s2.3p2.(3P).4s | 2P   | 3/2 | 3s2.3p2.(1D).4p | 2D*  | 3/2 |       |            |  L11418  |
       206.1890 |       206.1884 |     4 |            |      |  31.906537  -   37.917765 | 3s2.3p2.(3P).4s | 2P   | 3/2 | 3s2.3p2.(1D).4p | 2D*  | 5/2 |       |            |  L11418  |
       240.723  |       240.7235 |     7 |            |      |  31.022731  -   36.171646 | 3s2.3p2.(3P).4s | 4P   | 1/2 | 3s2.3p2.(3P).4p | 4S*  | 3/2 |       |            |  L11418  |
       244.773  |       244.7728 |     9 |            |      |  31.107903  -   36.171646 | 3s2.3p2.(3P).4s | 4P   | 3/2 | 3s2.3p2.(3P).4p | 4S*  | 3/2 |       |            |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       245.258  |       245.2586 |     4 |            |      |  31.107903  -   36.16162  | 3s2.3p2.(3P).4s | 4P   | 3/2 | 3s2.3p2.(3P).4p | 2D*  | 5/2 |       |            |   L4489  |
       249.698  |       249.6980 |     1 |            |      |  31.022731  -   35.98660  | 3s2.3p2.(3P).4s | 4P   | 1/2 | 3s2.3p2.(3P).4p | 2D*  | 3/2 |       |            |  L11418  |
       251.329  |       251.3281 |    12 |            |      |  31.239970  -   36.171646 | 3s2.3p2.(3P).4s | 4P   | 5/2 | 3s2.3p2.(3P).4p | 4S*  | 3/2 |       |            |  L11418  |
       251.721  |       251.722  |    10 |            |      |  31.75084   -   36.67480  | 3s2.3p2.(3P).4s | 2P   | 1/2 | 3s2.3p2.(3P).4p | 2P*  | 3/2 |       |            |  L11418  |
       251.838  |       251.8403 |     6 |            |      |  31.239970  -   36.16162  | 3s2.3p2.(3P).4s | 4P   | 5/2 | 3s2.3p2.(3P).4p | 2D*  | 5/2 |       |            |  L11418  |
                |                |       |            |      |                           |                 |      |     |                 |      |     |       |            |          |
       252.563  |       252.562  |    10 |            |      |  31.75084   -   36.65843  | 3s2.3p2.(3P).4s | 2P   | 1/2 | 3s2.3p2.(3P).4p | 2P*  | 1/2 |       |            |  L11418  |
