---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
      Observed      |        Ritz        |  Rel. |    Aki     | Acc. |        Ei           Ek        |          Lower level          |          Upper level          |Type|        TP  |    Line  |
     Wavelength     |     Wavelength     |  Int. |   (s^-1)   |      |       (eV)         (eV)       |-------------------------------|-------------------------------|    |       Ref. |    Ref.  |
      Vac (nm)      |      Vac (nm)      |       |            |      |                               | Conf.            | Term | J   | Conf.            | Term | J   |    |            |          |
         157.1920   |         157.189344 |     3 |            |      |  22.2588235   -   30.1463937  | 3s2.3p3.(2P*).3d | 1D*  | 2   | 3s2.3p3.(2P*).4p | 3P   | 1   |    |            |   L9366  |
         157.23340  |         157.23338  |       |            |      |  20.179331    -   28.06469227 | 3s2.3p3.(2D*).3d | 3F*  | 2   | 3s2.3p3.(2D*).4p | 3F   | 2   |    |            |   L8114  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         157.3050   |         157.30565  |     1 |            |      |  20.218868    -   28.10060677 | 3s2.3p3.(2D*).3d | 3F*  | 3   | 3s2.3p3.(2D*).4p | 3F   | 4   |    |            |   L9366  |
         157.65915  |         157.65910  |       |            |      |  20.218868    -   28.08293673 | 3s2.3p3.(2D*).3d | 3F*  | 3   | 3s2.3p3.(2D*).4p | 3F   | 3   |    |            |   L8114  |
         158.0260   |         158.02572  |     9 |            |      |  20.218868    -   28.06469227 | 3s2.3p3.(2D*).3d | 3F*  | 3   | 3s2.3p3.(2D*).4p | 3F   | 2   |    |            |   L9366  |
         158.30377  |         158.30382  |       |            |      |  20.268566    -   28.10060677 | 3s2.3p3.(2D*).3d | 3F*  | 4   | 3s2.3p3.(2D*).4p | 3F   | 4   |    |            |   L8114  |
         158.6330   |         158.631341 |     1 |            |      |  25.93140430  -   33.7472746  | 3s2.3p3.(4S*).4p | 3P   | 2   | 3s2.3p3.(2D*).5s | 3D*  | 2   |    |            |   L9366  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         158.66206  |         158.66178  |       |            |      |  20.268566    -   28.08293673 | 3s2.3p3.(2D*).3d | 3F*  | 4   | 3s2.3p3.(2D*).4p | 3F   | 3   |    |            |   L8114  |
         158.8740   |         158.8738   |     1 |            |      |  25.92833862  -   33.73228    | 3s2.3p3.(4S*).4p | 3P   | 1   | 3s2.3p3.(2D*).4d | 3S*  | 1   |    |            |   L9366  |
         159.6210   |         159.62499  |     6 |            |      |  20.179331    -   27.94654815 | 3s2.3p3.(2D*).3d | 3F*  | 2   | 3s2.3p3.(2D*).4p | 3D   | 3   |    |            |   L9366  |
         160.2570   |         160.25818  |     9 |            |      |  20.179331    -   27.91585952 | 3s2.3p3.(2D*).3d | 3F*  | 2   | 3s2.3p3.(2D*).4p | 3D   | 1   |    |            |   L9366  |
         160.2790   |         160.27715  |     9 |            |      |  20.179331    -   27.91494398 | 3s2.3p3.(2D*).3d | 3F*  | 2   | 3s2.3p3.(2D*).4p | 3D   | 2   |    |            |   L9366  |
                    |                    |       |            |      |                               |                  |      |     |                  |      |     |    |            |          |
         160.4410   |         160.44168  |     9 |            |      |  20.218868    -   27.94654815 | 3s2.3p3.(2D*).3d | 3F*  | 3   | 3s2.3p3.(2D*).4p | 3D   | 3   |    |            |   L9366  |
