------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       Observed       |         Ritz         |      Rel. |     Aki     | Acc. |         Ei           Ek         |            Lower level            |            Upper level            |Type|    TP  |    Line  |
      Wavelength      |      Wavelength      |      Int. |   (s^-1)    |      |        (eV)         (eV)        |-----------------------------------|-----------------------------------|    |   Ref. |    Ref.  |
       Vac (nm)       |       Vac (nm)       |           |             |      |                                 | Conf.              | Term  | J    | Conf.              | Term  | J    |    |        |          |
          159.6141    |          159.61394   |        1* |             |      |  18.33428084   -   26.1020361   | 3s2.3p4.(3P).3d    | 4P    | 5/2  | 3s2.3p4.(3P<2>).6f | 2[2]* | 5/2  |    |        |  L16202  |
          159.6141    |          159.615078  |        1* |             |      |  16.44411446   -   24.21181411  | 3s2.3p4.(3P).3d    | 4D    | 3/2  | 3s2.3p4.(3P<2>).4f | 2[1]* | 1/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          159.8561    |          159.8574570 |         1 |             |      |  16.40650186   -   24.16242396  | 3s2.3p4.(3P).3d    | 4D    | 7/2  | 3s2.3p4.(3P<2>).4f | 2[3]* | 7/2  |    |        |  L16202  |
          159.8724    |          159.872113  |         2 |             |      |  16.42557623   -   24.18078735  | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P<2>).4f | 2[2]* | 5/2  |    |        |  L16202  |
          159.8872    |          159.888087  |         1 |             |      |  16.45737782   -   24.21181411  | 3s2.3p4.(3P).3d    | 4D    | 1/2  | 3s2.3p4.(3P<2>).4f | 2[1]* | 1/2  |    |        |  L16202  |
          159.9125    |          159.9130296 |         1 |             |      |  16.40650186   -   24.15972864  | 3s2.3p4.(3P).3d    | 4D    | 7/2  | 3s2.3p4.(3P<2>).4f | 2[3]* | 5/2  |    |        |  L16202  |
          159.9597    |          159.9607021 |         1 |             |      |  16.42557623   -   24.17649235  | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P<2>).4f | 2[2]* | 3/2  |    |        |  L16202  |
                      |                      |           |             |      |                                 |                    |       |      |                    |       |      |    |        |          |
          160.0133    |          160.0132575 |         4 |             |      |  16.40650186   -   24.15487223  | 3s2.3p4.(3P).3d    | 4D    | 7/2  | 3s2.3p4.(3P<2>).4f | 2[4]* | 7/2  |    |        |  L16202  |
          160.0694    |          160.0693943 |         6 |             |      |  16.40650186   -   24.15215486  | 3s2.3p4.(3P).3d    | 4D    | 7/2  | 3s2.3p4.(3P<2>).4f | 2[4]* | 9/2  |    |        |  L16202  |
          160.2554    |          160.2515686 |        2* |             |      |  16.42557623   -   24.16242396  | 3s2.3p4.(3P).3d    | 4D    | 5/2  | 3s2.3p4.(3P<2>).4f | 2[3]* | 7/2  |    |        |  L16202  |
